Party,Candidates,Constituency
Fianna Fáil,John McGuinness[*],Carlow–Kilkenny (5 seats)
Fianna Fáil,Jennifer Murnane O'Connor[*],Carlow–Kilkenny (5 seats)
Fianna Fáil,Peter Cleere,Carlow–Kilkenny (5 seats)
Sinn Féin,Áine Gladney Knox,Carlow–Kilkenny (5 seats)
Sinn Féin,Natasha Newsome Drennan,Carlow–Kilkenny (5 seats)
Fine Gael,David Fitzgerald Michael Doyle Catherine Callaghan,Carlow–Kilkenny (5 seats)
Green,Malcolm Noonan[*],Carlow–Kilkenny (5 seats)
Labour,Seán Ó hArgáin[3],Carlow–Kilkenny (5 seats)
Social Democrats,Patricia Stephenson,Carlow–Kilkenny (5 seats)
PBP–Solidarity,Adrienne Wallace[4],Carlow–Kilkenny (5 seats)
Independent Ireland,,Carlow–Kilkenny (5 seats)
Aontú,Gary O'Neill,Carlow–Kilkenny (5 seats)
Independent,Tom Healy Eugene McGuinness Luke O'Connor[a],Carlow–Kilkenny (5 seats)
Others,Orla Donohoe (IFP),Carlow–Kilkenny (5 seats)
Fianna Fáil,Niamh Smyth[*] Brendan Smith[*] Robbie Gallagher[#][5],Cavan–Monaghan (5 seats)
Sinn Féin,Matt Carthy[*] Pauline Tully[*] Cathy Bennett,Cavan–Monaghan (5 seats)
Fine Gael,David Maxwell[6] T. P. O'Reilly[6] Carmel Brady,Cavan–Monaghan (5 seats)
Green,Eddie O'Gara,Cavan–Monaghan (5 seats)
Labour,,Cavan–Monaghan (5 seats)
Social Democrats,,Cavan–Monaghan (5 seats)
PBP–Solidarity,Emma Hendrick,Cavan–Monaghan (5 seats)
Independent Ireland,Shane P. O'Reilly,Cavan–Monaghan (5 seats)
Aontú,Sarah O'Reilly,Cavan–Monaghan (5 seats)
Independent,Lester Gordon,Cavan–Monaghan (5 seats)
Others,Val Martin (IFP) Mark Moore (NP),Cavan–Monaghan (5 seats)
Fianna Fáil,Cathal Crowe[*] Timmy Dooley[#] Rita McInerney,Clare (4 seats)
Sinn Féin,Donna McGettigan,Clare (4 seats)
Fine Gael,Leonora Carey Joe Cooney Tom Nolan[7],Clare (4 seats)
Green,Róisín Garvey[#],Clare (4 seats)
Labour,,Clare (4 seats)
Social Democrats,Hilary Tonge,Clare (4 seats)
PBP–Solidarity,Caitríona Ní Chatháin,Clare (4 seats)
Independent Ireland,Eddie Punch,Clare (4 seats)
Aontú,June Dillon,Clare (4 seats)
Independent,Amanda Major[8] Kevin Hassett[9] Matthew Moroney Paddy Murphy[10] Violet-Anne Wynne,Clare (4 seats)
Others,Michael Loughrey (IP) Michael Leahy (IFP),Clare (4 seats)
Fianna Fáil,James O'Connor[*] Deirdre O'Brien,Cork East (4 seats)
Sinn Féin,Pat Buckley[*],Cork East (4 seats)
Fine Gael,Noel McCarthy Mark Stanton,Cork East (4 seats)
Green,Clíona O'Halloran,Cork East (4 seats)
Labour,,Cork East (4 seats)
Social Democrats,Liam Quaide,Cork East (4 seats)
PBP–Solidarity,Asch Ní Fhinn,Cork East (4 seats)
Independent Ireland,Kathryn Bermingham,Cork East (4 seats)
Aontú,Mona Stromsoe,Cork East (4 seats)
Independent,Mary Linehan Foley William O'Leary Frank Roche,Cork East (4 seats)
Others,James Peter O'Sullivan (IP),Cork East (4 seats)
Fianna Fáil,Pádraig O'Sullivan[*] Tony Fitzgerald Sandra Murphy Kelleher,Cork North-Central (5 seats)
Sinn Féin,Thomas Gould[*] Joe Lynch,Cork North-Central (5 seats)
Fine Gael,Colm Burke[*] Garret Kelleher Imelda Daly,Cork North-Central (5 seats)
Green,Oliver Moran,Cork North-Central (5 seats)
Labour,John Maher Eoghan Kenny,Cork North-Central (5 seats)
Social Democrats,Ciarán McCarthy Susan Doyle,Cork North-Central (5 seats)
PBP–Solidarity,Mick Barry[*],Cork North-Central (5 seats)
Independent Ireland,Ken O'Flynn,Cork North-Central (5 seats)
Aontú,Finian Toomey,Cork North-Central (5 seats)
Independent,Rachel Hurley Roche[b] John Donohoe,Cork North-Central (5 seats)
Others,Derek Blighe (IF),Cork North-Central (5 seats)
Fianna Fáil,Michael Moynihan[*] Aindrias Moynihan[*],Cork North-West (3 seats)
Sinn Féin,Nicole Ryan,Cork North-West (3 seats)
Fine Gael,John Paul O'Shea Michael Creed,Cork North-West (3 seats)
Green,Colette Finn,Cork North-West (3 seats)
Labour,,Cork North-West (3 seats)
Social Democrats,,Cork North-West (3 seats)
PBP–Solidarity,Joe Moore,Cork North-West (3 seats)
Independent Ireland,,Cork North-West (3 seats)
Aontú,Becky Kealy,Cork North-West (3 seats)
Independent,,Cork North-West (3 seats)
Others,,Cork North-West (3 seats)
Fianna Fáil,Micheál Martin[*] Séamus McGrath Margaret Kenneally,Cork South-Central (5 seats)
Sinn Féin,Donnchadh Ó Laoghaire[*] Michelle Cowhey Shahid,Cork South-Central (5 seats)
Fine Gael,Jerry Buttimer[#] Úna McCarthy Shane O'Callaghan,Cork South-Central (5 seats)
Green,Monica Oikeh,Cork South-Central (5 seats)
Labour,Laura Harmon,Cork South-Central (5 seats)
Social Democrats,Pádraig Rice,Cork South-Central (5 seats)
PBP–Solidarity,Shane Laird,Cork South-Central (5 seats)
Independent Ireland,Veronica Houlihan,Cork South-Central (5 seats)
Aontú,Anna Daly,Cork South-Central (5 seats)
Independent,Mick Finn,Cork South-Central (5 seats)
Others,Ted Neville (NP),Cork South-Central (5 seats)
Fianna Fáil,Christopher O'Sullivan[*],Cork South-West (3 seats)
Sinn Féin,Claire O'Callaghan,Cork South-West (3 seats)
Fine Gael,Tim Lombard[#] Noel O'Donovan,Cork South-West (3 seats)
Green,Mary Ryder,Cork South-West (3 seats)
Labour,Evie Nevin,Cork South-West (3 seats)
Social Democrats,Holly Cairns[*],Cork South-West (3 seats)
PBP–Solidarity,Zoe Lapland,Cork South-West (3 seats)
Independent Ireland,Michael Collins[*],Cork South-West (3 seats)
Aontú,Mairead Ruane,Cork South-West (3 seats)
Independent,,Cork South-West (3 seats)
Others,Deborah O'Driscoll (IP),Cork South-West (3 seats)
Fianna Fáil,"Charlie McConalogue[*][11] Pat ""the Cope"" Gallagher[‡][11] Claudia Kennedy[12]",Donegal (5 seats)
