candidate,ro
4,125
23,360
26,350
58,520
64,532
65,529
67,535
70,183
72,181
98,57
109,54
113,41
126,662
129,672
133,670
134,673
137,671
146,98
152,97
156,84
159,91
180,302
186,305
190,159
207,499
216,223
225,106
240,367
257,579
262,570
263,571
264,572
265,577
267,473
273,469
275,461
278,465
288,641
309,13
319,266
329,252
331,262
334,406
337,396
338,404
344,401
349,405
381,480
382,479
389,482
398,594
413,75
425,691
442,455
459,269
464,272
466,339
471,328
482,589
487,587
491,558
499,114
503,122
513,414
538,379
539,383
542,538
554,543
590,435
1,140
2,133
3,134
5,129
6,127
7,124
8,136
9,131
10,132
11,137
12,138
13,126
14,142
15,130
16,135
17,141
18,358
19,362
20,361
21,349
22,353
24,345
25,357
27,359
28,352
29,355
30,351
31,346
32,363
33,344
34,191
35,190
36,192
37,199
38,188
39,189
40,203
41,193
42,197
43,194
44,200
45,201
46,207
47,205
48,196
49,195
50,202
51,198
52,206
53,526
54,527
55,528
56,523
57,522
59,525
60,521
61,530
62,519
66,534
68,524
69,185
71,172
73,167
74,175
75,169
76,180
78,170
79,182
80,178
81,166
82,165
83,173
84,177
85,179
86,171
87,208
88,209
89,218
90,212
91,211
92,213
93,210
94,215
95,214
96,46
97,55
99,53
100,44
101,56
102,59
103,60
104,50
105,52
106,51
107,43
108,58
110,61
111,45
112,63
114,36
115,32
116,33
117,35
118,39
119,40
120,30
121,37
122,42
123,34
595,31
124,675
125,666
127,664
128,657
130,659
131,674
132,667
136,668
138,676
139,661
140,660
141,665
142,663
143,94
144,80
145,89
147,99
148,87
149,90
150,88
151,82
153,81
154,86
155,85
157,95
158,93
160,96
161,319
162,322
163,311
164,317
165,312
166,313
167,314
169,323
170,324
171,310
172,315
173,325
174,309
175,318
176,307
177,299
178,298
179,301
182,308
183,306
184,297
185,303
187,304
188,296
189,300
191,161
192,152
193,154
194,151
195,164
196,160
198,156
199,157
200,493
201,490
202,489
203,496
204,494
205,497
206,495
209,498
210,233
211,228
212,232
213,225
214,219
215,222
217,221
218,234
219,227
220,220
221,226
222,229
222,230
223,235
224,229
224,230
226,107
227,112
228,101
229,109
230,105
231,108
232,111
233,102
234,110
235,103
236,100
237,104
238,365
239,364
241,376
242,375
243,370
244,377
245,368
246,372
247,371
248,374
249,378
250,369
251,567
252,565
253,578
254,568
255,581
256,573
258,574
259,566
260,580
261,564
266,569
268,470
269,464
270,463
271,462
272,466
274,467
276,471
277,472
279,476
280,475
281,655
282,642
283,651
284,644
285,652
286,647
287,654
289,645
290,656
291,653
292,643
293,646
294,649
295,650
296,294
297,287
298,286
299,295
300,293
301,288
302,289
303,285
304,291
305,290
306,14
307,12
308,3
310,5
311,8
312,7
313,9
314,4
315,11
316,1
317,10
318,260
320,254
321,263
322,259
323,265
324,253
325,255
326,258
327,268
328,264
330,261
332,256
333,267
335,395
336,392
339,402
340,398
341,397
342,399
343,394
345,400
346,391
347,407
348,393
350,248
351,245
352,236
353,240
354,247
355,249
356,246
357,237
358,242
359,238
360,243
361,250
362,251
363,239
364,244
365,241
383,477
384,486
385,488
386,485
387,484
388,483
594,487
390,595
391,604
392,609
393,605
394,596
395,602
396,598
399,610
400,608
401,599
402,600
403,607
404,606
405,76
406,68
407,66
408,73
409,78
410,71
411,72
412,74
414,79
415,70
416,67
417,693
418,684
419,685
420,695
421,679
422,682
423,681
424,692
426,686
427,688
428,696
429,687
430,677
431,690
432,694
433,683
434,680
435,456
436,452
437,446
438,451
439,440
440,439
441,443
443,453
444,454
445,448
446,450
447,459
448,458
449,442
450,460
451,449
452,280
453,270
454,271
455,274
456,275
457,278
458,277
460,284
461,279
462,282
463,273
465,283
467,330
468,336
469,333
470,340
472,335
473,341
474,326
475,334
476,332
477,337
478,343
479,593
480,582
481,591
483,583
484,584
485,588
488,586
489,590
490,563
492,554
493,556
494,561
495,555
496,559
497,562
498,557
591,560
500,115
501,117
502,116
504,121
505,118
506,120
507,119
508,422
509,421
510,425
511,424
512,413
514,409
515,416
516,410
517,412
518,417
519,418
520,420
521,24
522,23
523,28
524,16
525,26
526,19
527,27
528,18
529,20
530,22
531,17
596,15
532,382
533,388
534,384
535,387
536,389
537,390
540,386
541,380
543,537
544,541
545,546
546,539
547,545
549,550
550,548
551,551
552,542
553,540
555,549
556,613
557,611
558,620
559,616
560,612
561,615
562,618
563,621
564,623
565,614
566,617
567,622
568,624
569,619
570,508
571,505
572,507
573,517
574,511
575,501
576,504
577,509
578,503
579,513
580,512
581,502
582,518
583,427
584,429
585,430
586,428
587,436
588,432
589,434
