candidate,ro
597,128
598,139
599,143
600,356
601,347
602,348
603,354
604,204
605,531
606,533
607,536
608,168
609,184
610,217
611,216
612,64
613,48
614,49
615,62
616,29
617,38
135,658
618,658
619,669
620,83
621,92
168,316
622,316
623,320
624,321
625,150
626,155
627,153
628,158
629,162
630,492
631,500
632,224
633,231
634,366
635,373
636,576
637,575
638,468
639,474
640,648
641,292
642,2
643,6
644,257
645,403
646,636
647,478
648,481
649,601
650,603
651,65
652,69
653,77
654,678
655,437
656,438
657,441
658,444
659,445
660,447
661,457
662,276
663,281
664,338
665,327
666,329
667,342
668,331
486,585
669,585
670,592
671,553
672,113
673,123
674,411
675,419
676,415
677,408
678,21
679,25
680,385
681,381
548,544
682,544
683,547
684,625
685,514
686,506
687,515
688,516
689,510
690,431
691,433
