Constituency	Fianna Fáil	Sinn Féin	Fine Gael	Green	Labour	Social Democrats	PBP–Solidarity	Independent Ireland	Aontú	Independent	Others
Carlow–Kilkenny (5 seats)	John McGuinness[*] Jennifer Murnane O'Connor[*] Peter Cleere	Áine Gladney Knox Natasha Newsome Drennan	David Fitzgerald Michael Doyle Catherine Callaghan	Malcolm Noonan[*]	Seán Ó hArgáin[3]	Patricia Stephenson	Adrienne Wallace[4]		Gary O'Neill	Tom Healy Eugene McGuinness Luke O'Connor[a]	Orla Donohoe (IFP)
Cavan–Monaghan (5 seats)	Niamh Smyth[*] Brendan Smith[*] Robbie Gallagher[#][5]	Matt Carthy[*] Pauline Tully[*] Cathy Bennett	David Maxwell[6] T. P. O'Reilly[6] Carmel Brady	Eddie O'Gara			Emma Hendrick	Shane P. O'Reilly	Sarah O'Reilly	Lester Gordon	Val Martin (IFP) Mark Moore (NP)
Clare (4 seats)	Cathal Crowe[*] Timmy Dooley[#] Rita McInerney	Donna McGettigan	Leonora Carey Joe Cooney Tom Nolan[7]	Róisín Garvey[#]		Hilary Tonge	Caitríona Ní Chatháin	Eddie Punch	June Dillon	Amanda Major[8] Kevin Hassett[9] Matthew Moroney Paddy Murphy[10] Violet-Anne Wynne	Michael Loughrey (IP) Michael Leahy (IFP)
Cork East (4 seats)	James O'Connor[*] Deirdre O'Brien	Pat Buckley[*]	Noel McCarthy Mark Stanton	Clíona O'Halloran		Liam Quaide	Asch Ní Fhinn	Kathryn Bermingham	Mona Stromsoe	Mary Linehan Foley William O'Leary Frank Roche	James Peter O'Sullivan (IP)
Cork North-Central (5 seats)	Pádraig O'Sullivan[*] Tony Fitzgerald Sandra Murphy Kelleher	Thomas Gould[*] Joe Lynch	Colm Burke[*] Garret Kelleher Imelda Daly	Oliver Moran	John Maher Eoghan Kenny	Ciarán McCarthy Susan Doyle	Mick Barry[*]	Ken O'Flynn	Finian Toomey	Rachel Hurley Roche[b] John Donohoe	Derek Blighe (IF)
Cork North-West (3 seats)	Michael Moynihan[*] Aindrias Moynihan[*]	Nicole Ryan	John Paul O'Shea Michael Creed	Colette Finn			Joe Moore		Becky Kealy		
Cork South-Central (5 seats)	Micheál Martin[*] Séamus McGrath Margaret Kenneally	Donnchadh Ó Laoghaire[*] Michelle Cowhey Shahid	Jerry Buttimer[#] Úna McCarthy Shane O'Callaghan	Monica Oikeh	Laura Harmon	Pádraig Rice	Shane Laird	Veronica Houlihan	Anna Daly	Mick Finn	Ted Neville (NP)
Cork South-West (3 seats)	Christopher O'Sullivan[*]	Claire O'Callaghan	Tim Lombard[#] Noel O'Donovan	Mary Ryder	Evie Nevin	Holly Cairns[*]	Zoe Lapland	Michael Collins[*]	Mairead Ruane		Deborah O'Driscoll (IP)
Donegal (5 seats)	Charlie McConalogue[*][11] Pat "the Cope" Gallagher[‡][11] Claudia Kennedy[12]	Pearse Doherty[*][13] Pádraig Mac Lochlainn[*][13] Noel Jordan[14]	Nikki Bradley[#][15] John McNulty[15]	Nuala Carr			Carol Gallagher		Mary T. Sweeney[16]	Thomas Pringle[*][17] Niall McConnell[18] Gerry McKeever[19] Frank O'Donnell[20]	Eamon McGee (IFP) Kim McMenamin (IP)[21] Charles Ward (100%R)[22]
Dublin Bay North (5 seats)	Tom Brabazon[23] Deirdre Heney	Denise Mitchell[*][24] Mícheál Mac Donncha	Naoise Ó Muirí Aoibhinn Tormey	David Healy	Shane Folan[25]	Cian O'Callaghan[*]	Bernard Mulvany		James Morris	John Lyons Barry Heneghan Kevin Coyle[a] Diarmaid Ó Conoráin Michael Burke Brian Garrigan	Paul Fitzsimons (IFP)
Dublin Bay South (4 seats)	Jim O'Callaghan[*]	Chris Andrews[*]	Emma Blain[26] James Geoghegan	Hazel Chu	Ivana Bacik[*]	Eoin Hayes	Brigid Purcell		Alan Healy	Nick Delehanty Peter Dooley Michael McGrath Kate O'Connell[‡][27] Daniel Pocock	Lauralee Doyle (IP)
Dublin Central (4 seats)	Mary Fitzpatrick[#][28]	Mary Lou McDonald[*][29] Janice Boylan[29]	Paschal Donohoe[*]	Neasa Hourigan[*][30]	Marie Sherlock[#][31]	Gary Gannon[*]	Eoghan Ó Ceannabháin		Ian Noel Smyth	Malachy Steenson Kevin Sharkey[32]	Clare Daly[‡] (I4C)[33]
Dublin Fingal East (3 seats)	Darragh O'Brien[*] Manju Devy	Ann Graves	Alan Farrell[*]	Ian Carey	Duncan Smith[*]	Joan Hopkins	Bryn Edwards		Margaret McGovern		Dean Mulligan (I4C)
Dublin Fingal West (3 seats)	Lorraine Clifford-Lee[#]	Louise O'Reilly[*]	Grace Boland	Joe O'Brien[*]	Robert O'Donoghue		Ollie Power		Robbie Loughlin	Tony Murphy	John Oakes (IFP) Mark Parsons (IP)
Dublin Mid-West (5 seats)	Shane Moynihan Lynda Prendergast	Eoin Ó Broin[*][c] Mark Ward[*]	Emer Higgins[*] Vicki Casserly	Karla Doran	Francis Timmons	Eoin Ó Broin[c]	Gino Kenny[*]	Linda de Courcy	Colm Quinn	Paul Gogarty[‡]	Glen Moore (IFP) Robert Coyle (IP)
Dublin North-West (3 seats)	Paul McAuliffe[*]	Dessie Ellis[*] Cathleen Carney Boud	Noel Rock[‡]	Caroline Conroy[30]		Rory Hearne	Conor Reddy		Edward McManus	Gavin Pepper Diarmuid Mac Dubhghlais	Stephen Redmond (NP) Ian Croft (CP)
Dublin Rathdown (4 seats)	Shay Brennan Elaine Dunne	Shaun Tracey	Neale Richmond[*] Maeve O'Connell	Catherine Martin[*]	Lettie McCarthy	Sinéad Gibney	Siomha Ó Caisaide		Liam Coughlan	Alan Shatter[‡][34] Michael Fleming	Garrett McCafferty (NP)
Dublin South-Central (4 seats)	Catherine Ardagh[#]	Aengus Ó Snodaigh[*] Máire Devine[‡]	Mary Seery Kearney[#]	Patrick Costello[*]	Darragh Moriarty	Jen Cummins	Hazel De Nortúin	Rebecca Hendrick Philip Sutcliffe Snr	Aisling Considine	Dolores Webster	Joan Collins[*] (RTC) Barry Ward (IFP) Jina Ahearne (IP)
Dublin South-West (5 seats)	John Lahart[*] Teresa Costello	Seán Crowe[*] Niamh Whelan	Colm Brophy[*] Sarah Barnes	Francis Noel Duffy[*]	Ciarán Ahern	Ross O'Mullane	Paul Murphy[*]		Saoirse Ní Chónaráin	Alan Edge	Yan Mac Oireachtaigh (NP)
